date,geography,area_code,index,method_segment,source_id
2008-01-01,England,E92000001,88.5,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-02-01,England,E92000001,88.599999999999994,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-03-01,England,E92000001,88.799999999999997,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-04-01,England,E92000001,89,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-05-01,England,E92000001,89.200000000000003,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-06-01,England,E92000001,89.400000000000006,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-07-01,England,E92000001,89.599999999999994,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-08-01,England,E92000001,89.799999999999997,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-09-01,England,E92000001,90,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-10-01,England,E92000001,90.400000000000006,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-11-01,England,E92000001,90.599999999999994,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2008-12-01,England,E92000001,90.900000000000006,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2009-01-01,England,E92000001,91.099999999999994,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2009-02-01,England,E92000001,91.200000000000003,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2009-03-01,England,E92000001,91.200000000000003,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2009-04-01,England,E92000001,91.299999999999997,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2009-05-01,England,E92000001,91.299999999999997,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2009-06-01,England,E92000001,91.299999999999997,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2009-07-01,England,E92000001,91.200000000000003,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2009-08-01,England,E92000001,91.099999999999994,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2009-09-01,England,E92000001,91,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
2009-10-01,England,E92000001,90.799999999999997,historical IPHRP v25; 2008-2014 only,ONS_IPHRP_HIST_V25
